txt_pl_lem,date
"""Pan mówić: „oto nadchodzić dzień, kiedy wypełnić pomyślny zapowiedź, jaki obwieścićbyć dom izraelski i dom judzki. w ow dzień i w ow czas wzbudzić Dawid potomek sprawiedliwy; być on wymierzać prawo i sprawiedliwość na Ziemia. w ow dzień Juda dostąpić zbawienie, a Jerozolima być mieszkać bezpiecznie. to zaś być imię, który on być nazywać: """"Pan nasz sprawiedliwość"""". do ty, Pan, wznosić mój dusza dać ja poznać, twój droga, Pan, nauczyć ja chodzić twój ścieżka. prowadzić ja w prawda według twój pouczenie, bóg i zbawca, w ty mieć Nadzieja.dobry być Pan i prawy, dlatego wskazywać droga grzesznik. pomagać pokorny czynić dobrze, pokorny uczyć droga swój.wszystek ścieżka Pan być pewien i pełny łaska dla strzec on prawo i przymierze. bóg powierzać swój zamiar to, który się on bać, i objawiać on swój przymierze. Jezus powiedzieć do swój uczeń: „być znak na słońce, Księżyc i gwiazda, a na Ziemia trwoga naród bezradny wobec szum morze i on nawałnica. człowiek mdleć być z strach, w oczekiwać wydarzenie zagrażać Ziemia. albowiem moc niebiosa zostać wstrząsnąć. wtedy ujrzeć syn człowieczy, przychodzić na obłok z wielki moc i chwała. a gdy się to dziać zacząć, nabrać duch i podnieść głowa, ponieważ zbliżać się wasz odkupienie. uważać na siebie, aby wasz serce nie być ociężały wskutek obżarstwo, pijaństwo i troska doczesny, żeby ten dzień nie przypaść na wy znienacka jak potrzask. przyjść on bowiem na wszystek, który mieszkać na cały Ziemia. czuwać więc i modlić się w każdy czas, abybyć móc uniknąć ten wszystko, CO mieć nastąpić, i stanąć przed syn człowieczy”."" ",2018-12-02
"""w ow dzień odrośl Pan stanąć się ozdoba i chwała, a owoc Ziemia przepych i krasa dla ocalały z Izrael. i być tak: ten, kto pozostać żywy na Syjon, i który się ostać w Jeruzalem, każdy być nazwać święty i wpisać do księga życie w Jeruzalem. gdy Pan obmyć brud córa syjoński i krew rozlany oczyścić wewnątrz Jeruzalem tchnienie sąd i tchnienie pożoga, wtedy Pan przyjść spocząć na cały przestrzeń góra Syjon i na ten, który się tam zgromadzić, w dno jako obłok z dym, w noc jako olśniewający płomień ogień. albowiem nad wszystek chwała Pan być osłona i namiot, by za dzień dać cień przed skwar, ucieczka zaś i schronienie przed nawałnica i ulewa. iść z radość na spotkanie Pan ucieszyćbyć się, gdy ja powiedzieć: „pójść do dom Pan”. już stać nasz stopa w twój bram, Jeruzalem.tam wstępować pokolenie pański, aby zgodnie z prawo wielbić imię Pan. tam ustawić tron sędziowski, tron dom Dawid.prosić o pokój dla Jeruzalem: niech żyć w pokój, który ty miłować. niech pokój panować w twój mur, a pomyślność w twój pałac.z wzgląd na brat mój i przyjaciel być wołać: „pokój z ty. z wzgląd na dom Pan, bóg nasz, modlić się o dobro dla ty. gdy Jezus wejść do Kafarnaum, zwrócić się do on setnik i prosić on, mówić: „Pan, sługa mój leżeć w dom sparaliżować i bardzo cierpieć”. rzec on Jezus: „przyjść i uzdrowić on”. lecz setnik odpowiedzieć: „Pan, nie być godny, abybyć wejść pod dach mój, ale powiedzieć tylko słowo, a mój sługa odzyskać zdrowie. bo i ja, choć podlegać władza, mieć pod siebie żołnierz. mówić temu: """"iść"""", a iść; drugi: """"chodzić tu"""", a przychodzić; a sługa: """"zrobić to"""", a robić”. gdy Jezus to usłyszeć, zdziwić się i rzec do ten, który iść za on: „zaprawdę powiadać wy: u nikt w Izrael nie znaleźćbyć tak wielki wiara. lecz powiadać wy: wiele przyjść z wschód i zachód i zasiąść do stół z Abraham, Izaak i Jakub w królestwo niebieski”."" ",2018-12-03
"""wyrosnąć różdżka z pień jessego, wypuścić się odrośl z on korzeń. i spocząć na on duch Pan, duch mądrość i rozum, duch rada i męstwo, duch wiedza i bojaźń Pan. upodobać siebie w bojaźń Pan. nie być sądzić z pozór ni wyrokować według pogłoska; raczy rozsądzić biedny sprawiedliwie i pokorny w kraj wydać słuszny wyrok. rózga swój usta uderzyć gwałtownik, tchnienie swój warga uśmiercić bezbożny. sprawiedliwość być on pas na biodro, a wierność przepasać lędźwie. wtedy wilk zamieszkać wraz z baranek, pantera z koźlę razem leżeć być, cielę i Lew paść się być społem i mały chłopiec być on poganiać. krowa i niedźwiedzica przestawać być przyjaźnie, młody on razem być legać. Lew też jak wół być jadać słoma. niemowlę igrać być na Nora kobra, dziecko włożyć swój ręka do kryjówka żmija. zło czynić nie być ani zgubnie działać po cały święty mój góra, bo kraj się napełnić znajomość Pan na kształt woda, który przepełniać morze. ow dzień to się stanąć: korzeń jessego stać być na znak dla naród. do on lud przyjść z modlitwa, i sławny być miejsce on spoczynek. pokój zakwitnąć, kiedy Pan przybyć bóg, przekazać twój sąd Król, a twój sprawiedliwość syn królewski. aby twój lud rządzić sprawiedliwie i ubogi według prawo.za dzień on zakwitnąć sprawiedliwość i wielki pokój, aż Księżyc nie zgasnąć. być panować od morze do morze, od rzeka aż po kraniec Ziemia.wyzwolić bowiem biedak, który on wzywać, i ubogi, CO nie mieć opieka. zmiłować się nad biedny i ubogi, nędzarz ocalić od śmierć.niech on imię trwać na wiek, jak długo świecić słońce, niech trwać on imię. niech on imienie wzajemnie się błogosławić, niech wszystek naród Ziemia życzyć on szczęście. Jezus rozradować się w duch święty i rzec: „wysławiać ty, ojciec, Pan niebo i Ziemia, że zakryćbyć ten rzecz przed mądry i roztropny, a objawićbyć on prostaczek. tak, ojciec, gdyż taki być twój upodobanie. ojciec mój przekazać ja wszystko. nikt też nie wiedzieć, kto być syn, tylko ojciec; ani kto być ojciec, tylko syn i ten, kto syn zechcieć objawić”. potem zwrócić się do sam uczeń i rzec: „szczęśliwy oko, który widzieć to, CO wy widzieć. bo powiadać wy: wiele prorok i Król pragnąć ujrzeć to, CO wy widzieć, a nie ujrzeć, i usłyszeć, CO słyszeć, a nie usłyszeć”."" ",2018-12-04
"""w ów dzień śpiewać być ten pieśń w Ziemia judzki: „miasto mieć potężny; on jako środek ocaleć sprawić mur i przedmur. otworzyć bram! niech wejść naród sprawiedliwy, dochowywać wierność; on charakter stateczny ty kształtować w pokój, w pokój, bo ty zaufać. złożyć Nadzieja w pan na zawsze, bo Pan być wiekuisty skała! bo on poniżyć przebywać na szczyt, upokorzyć miasto niedostępny, upokorzyć on aż do Ziemia, sprawić, że w proch runąć. podeptać on noga, noga biedny i stopa ubogi”. błogosławiony, iść od Pan wysławiać Pan, bo być dobry, bo łaska on trwać na wiek. dobrze się uciec do Pan, niż pokładać ufność w człowiek. dobrze się uciec do Pan, niż pokładać ufność w książę.otworzyć ja brama sprawiedliwość, wejść przez nie i podziękować pan. oto być brama Pan, przez on wejść sprawiedliwy. dziękować ty, żeś ja wysłuchać i staćbyć się mój zbawca.o Pan, ty my wybawić, o Pan, dać my pomyślność. błogosławiony, który przybywać w imię pański, błogosławić wy z pański dom. Pan być bóg! i dawać my światło. Jezus powiedzieć do swój uczeń: „nie każdy, który ja mówić: """"Pan, Pan"""", wejść do królestwo niebieski, lecz ten, kto spełniać wola mój ojciec, który być w niebo. każdy więc, kto ten słowo mój słuchać i wypełniać on, można porównać z człowiek roztropny, który dom swój zbudować na skała. spaść deszcz, wezbrać potok, zerwać się wicher i uderzyć w ten dom. on jednak nie runąć, bo na skała być utwierdzić. każdy zaś, kto ten słowo mój słuchać, a nie wypełniać on, można porównać z człowiek nierozsądny, który dom swój zbudować na piasek. spaść deszcz, wezbrać potok, zerwać się wicher i rzucić się na ten dom. i runąć, a upadek on być wielki”."" ",2018-12-06
"""złoże, Jeruzalem, szata smutek i utrapienie swój, a przywdziać wspaniały szata chwała, dana ty na zawsze przez Pan. oblec się płaszcz sprawiedliwość pochodzić od bóg, włożyć na głowa swój korona chwała przedwieczny! albowiem bóg chcieć pokazać twój wspaniałość wszystko, CO być pod niebo. imię twój u bóg, na wiek być nazwać: „pokój sprawiedliwość i chwała pobożność!”. podnieść się, Jeruzalem! stanąć na miejsce wysoki, spojrzeć na wschód, zobaczyć twój dziecko, zgromadzić na słowo święty od wschód słońce aż do zachód, rozradowany, że bóg o on pamiętać. wyjść od ty pieszo, pędzić przez wróg, a bóg przyprowadzić on nieść z chwała, jakby na tron królewski. albowiem postanowić bóg zniżyć każdy góra wysoki, pagórek odwieczny, dół zasypać do zrównać z Ziemia, aby bezpiecznie móc kroczyć Izrael w chwała Pan. na rozkaz Pan lasa i drzewo pachnieć ocieniać być Izrael. z radość bowiem poprowadzić bóg Izrael do światło swój chwała z właściwy siebie sprawiedliwość i miłosierdzie. Pan bóg uczynić wielki rzecz dla my gdy Pan odmienić los Syjon, wydawać się my, że śnić. usta nasz być pełny śmiech, a język śpiewać z radość.mówić wtedy między pogan: „wielki rzecz on Pan uczynić”. odmienić znowu nasz los, Pan, jak odmieniać strumień na południe.ten, który w łza siać, żąć być w radość. iść i płakać nieść ziarno na zasiew, lecz powrócić z radość nieść swój snop. być to w piętnasty rok rząd Tyberiusz Cezar. gdy Poncjusz Piłat być namiestnik Judea, Herod tetrarcha Galilea, brat on Filip tetrarcha iturei i kraj trachonu, lizaniasz tetrarcha abileny; za wysoki kapłan Annasz i Kajfasz skierować zostać słowo boży do Jan, syn Zachariasz, na pustynia. obchodzić więc cały okolica nad Jordan i głosić chrzest nawrócić na odpuścić grzech, jak być napisać w księga mowa prorok Izajasz: „głos wołać na pustynia: przygotować droga pan, prostować ścieżka dla on; każdy dolina niech być wypełnić, każdy góra i pagórek zrównać, droga kręty niech stanąć się prosty, a wyboisty droga gładki. i wszystek człowiek ujrzeć zbawienie bóg”."" ",2018-12-09
"""niech się rozweselić pustynia i spiec Ziemia, niech się radować step i niech rozkwitnąć! niech wydać kwiat jak Lilia polny, niech się rozradować także skakać i wykrzykiwać z uciecha. chwała Liban on obdarzyć, ozdoba karmel i saron. on zobaczyć chwała Pan, wspaniałość nasz bóg. pokrzepić ręka osłabły, wzmocnić kolano omdlały!powiedzieć małoduszny: """"odwaga! nie bać się! oto wasz bóg, oto pomsta; przychodzić boży odpłata; on sam przychodzić, aby wy zbawić. wtedy przejrzeć oko niewidomy i ucho głuchy się otworzyć. wtedy chromy wyskoczyć jak jeleń i język niemy wesoło krzyknąć. bo trysnąć zdrój woda na pustynia i strumień na step; spiec Ziemia zmienić się w staw, spragniony kraj w Krynica woda, badyl w kryjówka, gdzie legać szakal, na trzcina z sitowie. być tam droga czysty, który nazwać droga święty. nie przejść on nieczysty, gdy odbywać podróż, i głupi nie być się tam wałęsać. nie być tam Lew, ni zwierz dziki nie wstąpić na on ani się nie znajść, ale tamtędy pójść wyzwolony i odkupić przez Pan powrócić. przybyć na Syjon z radosny śpiew, z szczęście wieczny na twarz. osiągnąć radość i szczęście, ustąpić smutek i wzdychać. oto bóg przyjść, ażeby my zbawić być słuchać to, CO mówić Pan bóg: oto ogłaszać pokój lud i święty swój. zaprawdę bliski być on zbawienie dla ten, który się on bać, i chwała zamieszkać w nasz Ziemia.spotkać się z siebie łaska i wierność, ucałować się sprawiedliwość i pokój. wierność z Ziemia wyrosnąć, a sprawiedliwość spojrzeć z niebo.Pan sam obdarzyć szczęście, a nasz Ziemia wydać swój owoc. przed on kroczyć być sprawiedliwość, a ślad on krok zbawienie. pewien dzień, gdy Jezus nauczać, siedzieć przy to faryzeusz i uczony w prawo, który przyjść z wszystek miejscowość Galilea, Judea i Jerozolima. a być w on moc pański, że móc uzdrawiać.wtem jakiś człowiek nieść na łoże człowiek, który być sparaliżować, starać się on wnieść i położyć przed on. nie móc z powód tłum w żaden sposób przynieść on, wyjść na płaski dach i przez powała spuścić on wraz z łoże w sam środek przed Jezus. on widzieć on wiara, rzec: „człowiek, odpuszczać ty się twój grzech”. na to uczony w pismo i faryzeusz począć się zastanawiać i mówić: „któż on być, że śmieć mówić bluźnierstwo? któż móc odpuszczać grzech prócz sam bóg?” lecz Jezus przejrzeć on myśl i rzec do on: „CO za myśl nurtować w serce wasz? cóż być łatwie powiedzieć: """"odpuszczać ty się twój grzech"""", czy powiedzieć: """"wstać i chodzić?"""" lecz abybyć wiedzieć, że syn człowieczy mieć na Ziemia władza odpuszczać grzech” — rzec do sparaliżować: „mówić ty, wstać, wziąć swój łoże i iść do dom”. i natychmiast wstać wobec on, wziąć łoże, na który leżeć, i pójść do dom, wielbić bóg."" ",2018-12-10
"""„pocieszyć, pocieszyć mój lud!” mówić wasz bóg. „przemawiać do serce Jeruzalem i wołać do on, że czas on służba się skończyć, że nieprawość on odpokutować, bo odebrać z ręka Pan kara w dwójnasób za wszystek swój grzech”. głos się rozlegać: „przygotować na pustynia droga dla Pan, wyrównać na pustkowie gościniec nasz bóg! niech się podnieść wszystek dolina, a wszystek góra i wzgórze obniżyć; równina niechaj się stanąć urwisko, a stromy zbocze nizina gładki. wtedy się chwała Pan objawić, zobaczyć on wszelki ciało, bo powiedzieć to usta Pan”. głos się odzywać: „wołać!” — i rzecbyć: CO mieć wołać? — „wszelki ciało to jakby trawa, a cały wdzięk on być niby kwiat polny. trawa usychać, więdnąć kwiat, gdy na nie wiatr Pan powiać. prawdziwie trawa być naród. trawa usychać, więdnąć kwiat, lecz słowo bóg nasz trwać na wiek”. wstąpże na wysoki góra, zwiastunka dobry nowina w Syjon! podnieść mocno twój głos, zwiastunka dobry nowina w Jeruzalem! podnieść głos, nie bać się! powiedzieć miasto judzki: „oto wasz bóg!” oto Pan, bóg, przychodzić z moc i ramię on dzierżeć władza. oto on nagroda z on iść i przed on on zapłata. podobnie pasterz pas swój trzoda, gromadzić on swój ramię, jagnię nosić na swój pierś, owca karmić prowadzić łagodnie. oto nasz Pan bóg przyjść z wielki moc śpiewać pan pieśń nowy, śpiewać pan Ziemia cały. śpiewać pan, Sławcio on imię, każdy dzień głosić on zbawienie.głosić on chwała wśród wszystek naród, rozgłaszać cud pośród wszystek lud. głosić wśród lud, że Pan być Król, być sprawiedliwie sądzić wszystek lud.niech się radować niebiosa i Ziemia wesoły, niech szumieć morze i wszystko, CO on napełniać. niech się ciesać Pol i wszystko, CO na on rosnąć, niech wszystek drzewo w las wykrzykiwać z radość.przed oblicze Pan, który już się zbliżać, który już się zbliżać, by sądzić Ziemia, on być sądzić Świat sprawiedliwie, a lud według swój prawda. Jezus powiedzieć do swój uczeń: „jak wy się zdawać? jeśli kto posiadać sto owca i zabłąkać się jeden z on: czy nie zostawić dziewięćdziesiąt dziewięć na góra i nie pójść szukać ten, który się zabłąkać? a jeśli on się udać on odnaleźć, zaprawdę powiadać wy : cieszyć się on bardzo niż dziewięćdziesiąt dziewięć ten, który się nie zabłąkać. tak też nie być wola ojciec wasz, który być w niebo, żeby zginąć jeden z ten mały”."" ",2018-12-11
"""„z któż bybyć móc ja porównać, tak, żeby ja dorównać?” — mówić święty. podnieść oko w góra i patrzeć: kto stworzyć ten gwiazda? ten, który w szyk prowadzić on wojsko, wszystek on wołać po imienie. spod taki potęga i olbrzymi siła nikt się nie uchylić. czemu mówić, Jakub, i ty, Izrael, powtarzać: „zakryty być mój droga przed Pan i prawo mój przed bóg przeoczyć?” czy nie wiedzieć to? czyś nie słyszeć? Pan to bóg wieczny, stwórca kraniec Ziemia. on się nie męczyć ani nie nużyć, on mądrość być niezgłębiony. on dodawać moc zmęczony i pomnażać siła omdlały. chłopiec się męczyć i nuża, chwiać się słabnąć młodzieniec; lecz ten, co zaufać pan, odzyskiwać siła, otrzymywać skrzydło jak orzeł; biec bez zmęczenie, bez znużenie iść. chwalić i błogosławić, dusza mój, Pan błogosławić, dusza mój, Pan i wszystko, CO być w ja, święty imię on. błogosławić, dusza mój, Pan i nie zapominać o wszystek on dobrodziejstwo.on odpuszczać wszystek twój wina i uleczyć wszystek choroba, on twój życie ratować od zguba, obdarzać ty łaska i zmiłowanie.miłosierny być Pan i łaskawy, nieskory do gniew i bardzo cierpliwy. nie postępować z my według nasz grzech ani według wina nasz my nie odpłacać. Jezus przemówić ten słowo: „przyjść do ja wszystek, który utrudzić i obciążyć być, a ja wy pokrzepić. wziąć mój jarzmo na siebie i uczyć się od ja, bo być łagodny i pokorny serce, a znajść ukojenie dla dusza wasi. albowiem jarzmo mój być słodki, a mój brzemię lekki”."" ",2018-12-12
"""ja, twój bóg, ująćbyć ty za prawica mówić ty: „nie lękać się, przychodzić ty z pomoc”. nie bać się, robaczek, Jakub, nieborak, o Izrael! ja ty wspomagać, mówić Pan, odkupiciel twój, święty Izrael. oto ja przemieniać ty w młocarskie sanie, nowy, o podwójny rząd ząb: ty zmłócić i wykruszyć góra, zmienić pagórek w drobny sieczka. ty on przewiać, a wicher on porwać i trąba powietrzny rozmieść. ty natomiast rozradować się w pan, chlubić się być w święty Izrael. nędzny i biedny szukać woda, i nie mieć! on język wyschnąć już z pragnienie. ja, Pan, wysłuchać on, nie opuścić on ja, bóg Izrael. kazać wytrysnąć strumień na nagi wzgórze i źródło woda w pośrodek nizina. zamienić pustynia na pojezierze, a wyschnąć Ziemia na wodotrysk. na pustynia zasadzić cedr, akacja, mirta i oliwka; rozkrzewić na pustkowie cyprys, wiąz i bukszpan obok siebie. ażeby widzieć i poznać, rozważyć i pojąć wszyscy, że ręka Pan to uczynić, że święty Izrael to dokonać. Pan być łagodny i bardzo łaskawy być ty wielbić, bóg mój i Król, i sławić twój imię przez wszystek wiek. Pan być dobry dla wszystek, a on miłosierdzie nad wszystko, CO stworzyć.niech ty wielbić, Pan, wszystek twój dzieło i niech ty błogosławić twój święty. niech mówić o chwała twój królestwo i niech głosić twój potęga.aby syn ludzki oznajmić twój potęga i wspaniałość chwała twój królestwo. królestwo twój królestwo wszystek wiek, przez wszystek pokolenie twój panowanie. Jezus powiedzieć do tłum: „zaprawdę powiadać wy: między narodzić z niewiasta nie powstać duży od Jan chrzciciel. lecz mały w królestwo niebieski duży być niż on. a od czas Jan chrzciciel aż dotąd królestwo niebieski doznawać gwałt i człowiek gwałtowny zdobywać on. wszyscy bowiem prorok i prawo prorokować aż do Jan. a jeśli chcieć przyjąć, to on być Eliasz, który mieć przyjść. kto mieć ucho, niechaj słuchać”."" ",2018-12-13
"""wyśpiewywać, córa syjoński, podnieść radosny okrzyk, Izrael! ciesać się i wesele z cały serce, córa Jeruzalem! Pan oddalić wyrok na ty, usunąć twój nieprzyjaciel; Król Izrael, Pan, być pośród ty, już nie być bać się zły. ow dzień powiedzieć Jerozolima: „nie bać się, Syjon! niech nie słabnąć twój ręka!”. Pan, twój bóg być pośród ty, mocarz, który dawać zbawienie. on unieść się wesele nad ty, odnowić swój miłość, wznieść okrzyk radość, jak w dzień uroczysty święto. głosić z wesele, bóg być między my oto bóg być mój zbawienie, być mieć ufność i bać się nie być. bo Pan być mój moc i pieśń, on stać się dla ja zbawienie.wy zaś z wesele czerpać być woda z zdrój zbawienie. chwalić Pan, wzywać on imienie, dać poznać on dzieło między naród, przypominać, że wspaniały być imię on.śpiewać pan, bo uczynić wzniosły rzecz, niech to być wiadomy po cały Ziemia. wznosić okrzyk i wołać z radość, mieszkanko Syjon bo wielki być pośród ty, święty Izrael. gdy Jan nauczać nad Jordan, pytać on tłum: „cóż mieć czynić?”. on on odpowiadać: „kto mieć dwa suknia, niech jeden dać to, który nie mieć; a kto mieć żywność, niech tak samo czynić”. przychodzić także celnik, żeby przyjąć chrzest, i pytać on: „nauczyciel, CO mieć czynić?”. on on odpowiadać: „nie pobierać nic dużo ponad to, ile wy wyznaczyć”. pytać on też i żołnierz: „a my, CO mieć czynić?”. on on odpowiadać: „nad nikt się nie znęcać i nikt nie uciskać, lecz poprzestawać na swój żołd”. gdy więc lud oczekiwać z napięcie i wszyscy snuć domysł w serce CO do Jan, czy nie być on mesjasz, on tak przemówić do wszyscy: „ja wy chrzcić woda; lecz iść mocny od ja, który nie być godny rozwiązać rzemyk u sandał. on chrzcić wy być duch święty i ogień. mieć on wiejadło w ręka dla oczyścić swój omłot: pszenica zebrać do spichrz, a plewy spać w ogień nieugaszony”. wiele też inny napomnienie dawać lud i głosić dobry nowina."" ",2018-12-16
